page_title,book_title,book_author,book_price,book_image_link,book_detail_link,book_length,book_language,book_ASIN
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Ganesha's Secret: Food alone does not satisfy hunger,Devdutt Pattanaik,15.75,https://images-eu.ssl-images-amazon.com/images/I/51bBzK0v7UL._AC_US218_.jpg,https://www.amazon.in/Ganeshas-Secret-alone-satisfy-hunger-ebook/dp/B074P2G6QV,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,How to take decisions (Management Sutras Book 5),Devdutt Pattanaik,10.5,https://images-eu.ssl-images-amazon.com/images/I/41kCACzF7YL._AC_US218_.jpg,https://www.amazon.in/take-decisions-Management-Sutras-Book-ebook/dp/B01MSOUWC3,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,10 Ways to Begin Your Day (Rupa Quick Reads),Steve Chandler,10.5,https://images-eu.ssl-images-amazon.com/images/I/41jpcFwGF-L._AC_US218_.jpg,https://www.amazon.in/Ways-Begin-Your-Quick-Reads-ebook/dp/B01N3Y0K0F,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Lift Me Up,Shanaya Taneja,9.0,https://images-eu.ssl-images-amazon.com/images/I/418bY2DsNCL._AC_US218_.jpg,https://www.amazon.in/Lift-Me-Up-Shanaya-Taneja-ebook/dp/B07ZQJYKVK,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,The Forbidden Tattoo,Shanaya Taneja,9.0,https://images-eu.ssl-images-amazon.com/images/I/41nXnk9LXRL._AC_US218_.jpg,https://www.amazon.in/Forbidden-Tattoo-Shanaya-Taneja-ebook/dp/B07X1TM4B4,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Give Me More,Shanaya Taneja,9.0,https://images-eu.ssl-images-amazon.com/images/I/41dkcsYyvFL._AC_US218_.jpg,https://www.amazon.in/Give-Me-More-Shanaya-Taneja-ebook/dp/B07YNYRJCY,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Ten Must Read Animal Stories (Rupa Quick Reads),Ruskin Bond,10.0,https://images-eu.ssl-images-amazon.com/images/I/51PN7F4qnwL._AC_US218_.jpg,https://www.amazon.in/Must-Animal-Stories-Quick-Reads-ebook/dp/B01MRHS3ZS,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Finding Lust on Tinder (Quickies),Shanaya Taneja,9.0,https://images-eu.ssl-images-amazon.com/images/I/41VS2eI-d1L._AC_US218_.jpg,https://www.amazon.in/Finding-Tinder-Quickies-Shanaya-Taneja-ebook/dp/B06Y3LNC3K,,,
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,Krishna's Secret,Devdutt Pattanaik,15.75,https://images-eu.ssl-images-amazon.com/images/I/51lzN32qRkL._AC_US218_.jpg,https://www.amazon.in/Krishnas-Secret-Devdutt-Pattanaik-ebook/dp/B074P2PC5P,45 pages,English,B074P2PC5P
Kindle Short Reads: Checkout Great Short Reads in in One Sitting Online at Amazon.in,The Stranger in my Bed (Quickies),Shanaya Taneja,9.0,https://images-eu.ssl-images-amazon.com/images/I/5159Ay701xL._AC_US218_.jpg,https://www.amazon.in/Stranger-my-Bed-Quickies-ebook/dp/B06XKRQKW1,20 pages,English,B06XKRQKW1
